seed,completed,bwt,synthetic_ens_f1_at_opt,synthetic_ens_roc_auc,synthetic_ens_pr_auc,real_ens_f1_at_opt,real_ens_roc_auc,real_ens_pr_auc,bitbrains_ens_f1_at_opt,bitbrains_ens_roc_auc,bitbrains_ens_pr_auc
42,True,0.0,0.8717472118959108,0.9169161833330757,0.9551827259221558,0.9059496082998094,0.7798098807574043,0.9490560282289299,0.9578898658028691,0.9574320651239174,0.9716530384023283
52,True,0.0,0.8972461273666092,0.9368886837922371,0.9668214841671129,0.9093049620650563,0.8252976035015015,0.9434897998733187,0.9608430930791144,0.9645552198927854,0.9775826650582942
62,True,0.0,0.8906848149723522,0.929690251847614,0.9645261132959562,0.908036959553696,0.8060270720177765,0.9366218587177564,0.9610607586438402,0.9635948479333205,0.9770226167115802
72,True,0.0,0.9003740224413465,0.938007564694828,0.9644771622346241,0.9098432055749129,0.8277447964240481,0.9436140457305318,0.9601123284128069,0.9636689204033766,0.9770296192871443
82,True,0.0,0.9177918304563323,0.9551547008170007,0.978076674608312,0.9090204854536065,0.8198091029153629,0.9434485927454468,0.9637348119755131,0.9681576278270652,0.9793698626139318
92,True,0.0,0.8935415787252005,0.935689439225705,0.9667450814599274,0.9085644085644086,0.8132494490180311,0.9416772274125307,0.9596064215432418,0.9626183765734128,0.9763498480606858
102,True,0.0,0.8895070851082326,0.9311773631998158,0.9642978541003929,0.9095596133190118,0.8288250624409752,0.9438923713614613,0.9617461996770421,0.9636396893742593,0.9770062614320324
112,True,0.0,0.8931099982731825,0.9331925169448064,0.9644260773557205,0.9087061668681983,0.7968464734691676,0.9350625220829405,0.9609534031607387,0.962818591187642,0.9766943089859946
122,True,0.0,0.8991979584396645,0.929689776735309,0.956306190568348,0.9096393329598828,0.8155857531495553,0.9392982227916177,0.9586453683550374,0.9575135976314462,0.9730573515612633
132,True,0.0,0.9091214513690576,0.947980659387578,0.966889777568473,0.908534218810643,0.8198721131716395,0.9432574354400712,0.9614458723750973,0.9636899790621165,0.9770910425377224
